title,year,genres,imdb_rating,local_gross,worldwide_gross,budget,opening_weekend,url
Hi! Dharma!,2001,"['Back to top', 'Drama', 'Comedy']",6.0,N/A,"$127,312",N/A,N/A,https://www.imdb.com/title/tt0298826/
Tazza: The High Rollers,2006,"['Back to top', 'Crime', 'Comedy']",7.1,N/A,"$39,243,317",N/A,N/A,https://www.imdb.com/title/tt0875025/
Spring Breeze,2003,"['Romance', 'Back to top', 'Comedy']",5.8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0377042/
Father and Son: The Story of Mencius,2004,"['Back to top', 'Comedy']",5.3,N/A,N/A,"$3,000,000 (estimated)",N/A,https://www.imdb.com/title/tt0398173/
My Brother,2004,"['Back to top', 'Drama']",7.0,N/A,"$33,584",N/A,N/A,https://www.imdb.com/title/tt0423461/
Romance of Their Own,2004,"['Back to top', 'Action', 'Drama', 'Romance']",6.2,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0416073/
The Bow,2005,"['Back to top', 'Drama', 'Romance']",7.1,N/A,"$2,032,404","$950,000 (estimated)",N/A,https://www.imdb.com/title/tt0456470/
Sund@y Seoul,2004,"['Back to top', 'Drama']",5.5,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0447468/
Kilimanjaro,2000,"['Thriller', 'Action', 'Back to top']",6.0,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0297231/
Recess: School's Out,2001,"['Adventure', 'Comedy', 'Back to top', 'Animation', 'Family']",6.5,"$36,706,141","$44,460,850","$23,000,000 (estimated)","$10,065,873",https://www.imdb.com/title/tt0265632/
Unborn But Forgotten,2002,"['Back to top', 'Mystery', 'Horror']",4.5,N/A,"$1,155,954",N/A,N/A,https://www.imdb.com/title/tt0325534/
The Peter Pan Formula,2005,"['Back to top', 'Drama']",6.5,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0492479/
The Triplets of Belleville,2003,"['Adventure', 'Music', 'Comedy', 'Drama', 'Satire', 'Sport', 'Back to top', 'Animation']",7.7,"$7,007,149","$14,776,775","$9,500,000 (estimated)","$108,080",https://www.imdb.com/title/tt0286244/
Mabeopsadul,2005,"['Back to top', 'Drama']",6.6,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0796825/
Dig or Die,2002,"['Back to top', 'Crime', 'Comedy']",3.4,N/A,"$461,665",N/A,N/A,https://www.imdb.com/title/tt0322104/
The Uninvited,2003,"['Back to top', 'Thriller', 'Drama', 'Horror']",5.7,N/A,"$90,638",N/A,N/A,https://www.imdb.com/title/tt0358345/
Nomu mani pon sanai,2000,"['Back to top', 'Thriller', 'Crime']",5.8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0434239/
Terror Taxi,2000,"['Horror', 'Adventure', 'Comedy', 'Back to top', 'Romance', 'Action']",4.4,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0294604/
Everybody Has Secrets,2004,"['Romance', 'Back to top', 'Comedy']",6.0,N/A,"$4,931,175","$4,400,000 (estimated)",N/A,https://www.imdb.com/title/tt0416080/
Tale of Cinema,2005,"['Back to top', 'Drama']",6.9,N/A,"$5,695",N/A,N/A,https://www.imdb.com/title/tt0461795/
Two Guys,2004,"['Action', 'Back to top', 'Comedy']",6.7,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0414624/
Star Runner,2003,"['Back to top', 'Action', 'Drama', 'Romance']",5.1,N/A,"$430,260","HK$30,000,000 (estimated)",N/A,https://www.imdb.com/title/tt0378773/
Virgin Stripped Bare by Her Bachelors,2000,"['Back to top', 'Drama']",6.9,N/A,"$3,936",N/A,N/A,https://www.imdb.com/title/tt0253378/
Phone,2002,"['Back to top', 'Thriller', 'Mystery', 'Horror']",6.1,N/A,"$21,784,403",N/A,N/A,https://www.imdb.com/title/tt0323630/
Public Toilet,2002,"['Back to top', 'Drama']",5.5,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0334229/
Seoul,2002,"['Thriller', 'Action', 'Back to top']",5.5,N/A,"$3,618,818",N/A,N/A,https://www.imdb.com/title/tt0307440/
La Belle,2000,"['Back to top', 'Drama']",5.4,N/A,"$158,495",N/A,N/A,https://www.imdb.com/title/tt0269546/
Three... Extremes,2004,"['Dark Comedy', 'Back to top', 'Horror']",6.9,"$77,532","$516,930",N/A,"$36,414",https://www.imdb.com/title/tt0420251/
Take Care of My Cat,2001,"['Back to top', 'Drama']",7.1,"$9,866","$64,591",N/A,"$3,137",https://www.imdb.com/title/tt0296658/
