title,year,genres,imdb_rating,local_gross,worldwide_gross,budget,opening_weekend,url
The Kazbat Soldiers,2019,"['Back to top', 'Drama', 'War']",7.0,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt11078996/
Pura vida - The Ridge,2012,"['Adventure', 'Documentary', 'Back to top', 'Sport', 'Biography']",7.4,N/A,N/A,"€658,000 (estimated)",N/A,https://www.imdb.com/title/tt2048837/
Otyzdan Asyp Baramyn,2021,"['Back to top', 'Drama']",7.5,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt22525456/
Succubus,2024,"['Back to top', 'Thriller', 'Horror', 'Erotic Thriller']",3.5,N/A,"$160,194","RUR 139,725,000 (estimated)",N/A,https://www.imdb.com/title/tt13358878/
Ya ne vernus,2014,"['Back to top', 'Drama']",7.1,N/A,N/A,"€1,500,000 (estimated)",N/A,https://www.imdb.com/title/tt2637844/
House for Mermaids,2015,"['Back to top', 'Drama']",5.7,N/A,"$3,024",N/A,N/A,https://www.imdb.com/title/tt3897322/
Abel,2024,"['Back to top', 'Drama']",8.6,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt33290598/
18 Kilohertz,2020,"['Back to top', 'Drama']",6.8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt13259906/
Vaktsina ot korruptsii,2023,"['Back to top', 'Comedy']",7.8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt27826802/
Nagima,2013,"['Back to top', 'Drama']",6.6,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt2950352/
Zamuzh v 30,2016,"['Back to top', 'Comedy']",7.3,N/A,N/A,"$300,000 (estimated)",N/A,https://www.imdb.com/title/tt5508744/
Zheruiyk,2011,"['Back to top', 'Drama']",7.0,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt2086958/
Kelin,2009,"['Back to top', 'Drama', 'History']",7.0,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt1464239/
Mustafa Shokay,2008,"['Back to top', 'Drama', 'Biography', 'History']",4.8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt11387070/
Ulzhan,2007,"['Back to top', 'Drama']",6.7,N/A,"$274,971",N/A,N/A,https://www.imdb.com/title/tt1016033/
Steppenwolf,2024,"['Thriller', 'Back to top']",6.5,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt30490625/
"Sweetie, You Won't Believe It",2020,"['Slasher Horror', 'Comedy', 'Thriller', 'Dark Comedy', 'Back to top', 'Horror']",6.2,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt13236334/
Walnut Tree,2015,"['Back to top', 'Comedy']",6.3,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt5145334/
